0,287.075,0.006,0.19,0.187,0.189,0.194,0.196
1,147.156,0.002,0.479,0.471,0.476,0.489,0.495
2,23.6,0.001,0.781,0.768,0.776,0.797,0.806
3,27.546,0.008,1.007,0.989,0.999,1.027,1.038
4,118.651,0.026,1.097,1.075,1.087,1.119,1.129
5,175.401,0.054,1.04,1.016,1.028,1.06,1.066
6,139.199,0.092,0.866,0.839,0.851,0.883,0.882
7,52.231,0.135,0.641,0.608,0.622,0.654,0.643
8,9.463,0.18,0.436,0.398,0.414,0.446,0.424
9,39.592,0.223,0.312,0.267,0.286,0.32,0.286
10,90.72,0.262,0.298,0.247,0.27,0.307,0.262
11,99.595,0.297,0.388,0.332,0.359,0.4,0.345
12,60.579,0.33,0.546,0.484,0.517,0.559,0.495
13,19.094,0.366,0.719,0.651,0.689,0.733,0.66
14,14.23,0.404,0.856,0.78,0.826,0.87,0.789
15,40.071,0.448,0.922,0.836,0.89,0.933,0.848
16,60.504,0.497,0.906,0.806,0.872,0.912,0.826
17,52.183,0.551,0.823,0.707,0.786,0.822,0.737
18,23.121,0.607,0.705,0.576,0.668,0.699,0.615
19,8.008,0.662,0.595,0.451,0.556,0.581,0.498
20,14.394,0.714,0.524,0.367,0.484,0.502,0.422
21,29.442,0.764,0.512,0.343,0.472,0.482,0.405
22,33.986,0.81,0.558,0.377,0.517,0.52,0.446
23,23.547,0.854,0.645,0.452,0.603,0.597,0.528
24,11.214,0.895,0.751,0.547,0.709,0.695,0.631
25,4.605,0.937,0.843,0.629,0.802,0.78,0.72
26,11.428,0.979,0.898,0.676,0.856,0.827,0.771
27,20.5,1.024,0.904,0.674,0.859,0.825,0.772
28,20.513,1.07,0.866,0.63,0.816,0.779,0.727
29,12.01,1.116,0.801,0.559,0.746,0.705,0.654
30,5.756,1.162,0.731,0.484,0.67,0.627,0.577
31,5.188,1.207,0.678,0.426,0.612,0.566,0.517
32,10.371,1.249,0.658,0.4,0.588,0.537,0.49
33,14.139,1.289,0.675,0.411,0.6,0.545,0.498
34,12.193,1.328,0.721,0.453,0.644,0.582,0.536
35,6.916,1.364,0.783,0.509,0.702,0.634,0.589
36,3.661,1.401,0.838,0.558,0.754,0.681,0.634
37,5.652,1.438,0.872,0.585,0.785,0.707,0.658
38,8.344,1.476,0.878,0.586,0.789,0.707,0.654
39,8.333,1.514,0.861,0.561,0.768,0.683,0.625
40,5.714,1.553,0.828,0.521,0.732,0.644,0.58
41,3.31,1.591,0.793,0.479,0.694,0.603,0.533
42,4.893,1.629,0.767,0.445,0.665,0.571,0.496
43,6.283,1.666,0.758,0.428,0.654,0.557,0.476
44,7.332,1.702,0.769,0.432,0.664,0.562,0.477
45,6.706,1.737,0.796,0.451,0.69,0.583,0.495
46,5.072,1.771,0.831,0.478,0.724,0.613,0.521
47,4.029,1.806,0.865,0.504,0.757,0.641,0.546
48,3.413,1.839,0.89,0.521,0.783,0.66,0.563
49,4.178,1.873,0.902,0.525,0.795,0.666,0.568
50,4.534,1.906,0.9,0.514,0.794,0.657,0.558
51,4.011,1.939,0.886,0.493,0.781,0.637,0.537
52,3.152,1.971,0.868,0.467,0.765,0.612,0.512
53,2.755,2.002,0.853,0.444,0.752,0.59,0.491
54,2.824,2.031,0.852,0.436,0.753,0.583,0.485
55,3.073,2.058,0.865,0.443,0.769,0.591,0.494
56,2.34,2.083,0.889,0.46,0.796,0.61,0.514
57,1.444,2.108,0.915,0.479,0.825,0.631,0.538
58,1.232,2.131,0.937,0.495,0.849,0.648,0.556
59,1.679,2.155,0.948,0.501,0.863,0.656,0.565
60,2.922,2.178,0.946,0.493,0.862,0.649,0.56
61,2.579,2.202,0.932,0.474,0.849,0.631,0.545
62,1.778,2.226,0.912,0.45,0.831,0.607,0.524
63,1.305,2.249,0.894,0.427,0.814,0.585,0.505
64,1.472,2.271,0.883,0.412,0.804,0.569,0.492
65,1.89,2.292,0.882,0.406,0.803,0.564,0.489
66,1.208,2.312,0.887,0.407,0.809,0.565,0.493
67,1.099,2.331,0.897,0.413,0.82,0.57,0.501
68,0.925,2.349,0.909,0.421,0.832,0.578,0.511
69,0.842,2.366,0.92,0.427,0.843,0.585,0.52
70,0.884,2.382,0.927,0.43,0.85,0.589,0.525
71,0.954,2.399,0.93,0.429,0.853,0.587,0.525
72,2.353,2.416,0.927,0.421,0.85,0.58,0.52
73,2.185,2.433,0.921,0.41,0.844,0.569,0.511
74,2.022,2.451,0.914,0.398,0.838,0.558,0.501
75,1.977,2.47,0.909,0.388,0.834,0.549,0.494
76,2.018,2.488,0.909,0.382,0.835,0.544,0.491
77,2.034,2.507,0.913,0.38,0.84,0.544,0.493
78,1.958,2.524,0.922,0.383,0.851,0.548,0.499
79,1.786,2.541,0.934,0.389,0.864,0.555,0.509
80,1.67,2.557,0.946,0.395,0.878,0.562,0.518
81,1.681,2.573,0.954,0.397,0.888,0.565,0.524
82,1.747,2.588,0.958,0.395,0.894,0.564,0.526
83,1.756,2.604,0.958,0.388,0.896,0.559,0.523
84,0.655,2.618,0.96,0.385,0.901,0.556,0.523
85,0.637,2.631,0.966,0.384,0.909,0.557,0.527
86,0.586,2.644,0.973,0.386,0.918,0.56,0.532
87,0.547,2.656,0.979,0.387,0.926,0.562,0.537
88,0.545,2.667,0.985,0.387,0.933,0.564,0.541
89,0.562,2.678,0.988,0.385,0.937,0.563,0.542
90,0.832,2.689,0.986,0.379,0.936,0.557,0.538
91,0.735,2.7,0.98,0.369,0.931,0.548,0.531
92,0.628,2.711,0.974,0.358,0.926,0.538,0.524
93,0.601,2.722,0.969,0.349,0.922,0.529,0.518
94,0.647,2.732,0.967,0.344,0.921,0.524,0.515
95,0.687,2.742,0.97,0.342,0.924,0.523,0.516
96,0.531,2.751,0.972,0.34,0.927,0.521,0.517
97,0.527,2.76,0.974,0.338,0.929,0.519,0.516
98,0.523,2.768,0.975,0.336,0.93,0.516,0.516
99,0.518,2.776,0.976,0.334,0.932,0.514,0.515
100,0.514,2.783,0.977,0.331,0.933,0.511,0.514
101,0.512,2.79,0.979,0.329,0.935,0.509,0.513
102,0.568,2.796,0.981,0.328,0.937,0.507,0.513
103,0.562,2.803,0.984,0.326,0.939,0.507,0.513
104,0.555,2.81,0.986,0.325,0.942,0.506,0.514
105,0.549,2.816,0.989,0.323,0.944,0.506,0.514
106,0.544,2.823,0.991,0.322,0.946,0.506,0.514
107,0.538,2.83,0.993,0.319,0.948,0.506,0.514
108,1.309,2.836,0.994,0.317,0.95,0.505,0.513
109,1.302,2.843,0.996,0.314,0.953,0.504,0.513
110,1.295,2.849,0.998,0.31,0.955,0.502,0.512
111,1.288,2.856,0.999,0.307,0.958,0.501,0.512
112,1.28,2.862,1.001,0.303,0.961,0.499,0.511
113,1.273,2.868,1.003,0.3,0.964,0.497,0.511
114,0.769,2.874,1.011,0.303,0.974,0.502,0.518
115,0.586,2.878,1.023,0.31,0.988,0.511,0.529
116,0.429,2.883,1.035,0.317,1.002,0.52,0.54
117,0.439,2.887,1.045,0.322,1.012,0.527,0.548
118,0.556,2.892,1.049,0.321,1.018,0.528,0.551
119,0.62,2.896,1.049,0.316,1.017,0.524,0.548
120,0.81,2.901,1.041,0.305,1.011,0.514,0.54
121,0.57,2.906,1.031,0.29,1.0,0.501,0.528
122,0.429,2.911,1.021,0.277,0.991,0.488,0.517
123,0.489,2.916,1.015,0.267,0.985,0.479,0.51
124,0.629,2.92,1.015,0.263,0.985,0.476,0.508
125,0.674,2.925,1.02,0.265,0.991,0.478,0.512
126,0.466,2.929,1.026,0.267,0.997,0.481,0.516
127,0.464,2.932,1.031,0.269,1.002,0.483,0.519
128,0.478,2.936,1.034,0.268,1.005,0.482,0.52
129,0.488,2.939,1.035,0.266,1.007,0.48,0.519
130,0.482,2.941,1.035,0.263,1.006,0.476,0.517
131,0.465,2.944,1.034,0.258,1.005,0.471,0.513
132,0.443,2.946,1.033,0.254,1.004,0.467,0.51
133,0.447,2.949,1.033,0.251,1.004,0.464,0.508
134,0.453,2.952,1.035,0.249,1.006,0.463,0.507
135,0.453,2.955,1.037,0.248,1.009,0.463,0.508
136,0.443,2.958,1.041,0.248,1.012,0.464,0.51
137,0.434,2.961,1.045,0.248,1.016,0.466,0.512
138,0.967,2.965,1.047,0.246,1.019,0.466,0.513
139,0.965,2.97,1.047,0.243,1.02,0.464,0.511
140,0.949,2.975,1.046,0.238,1.02,0.461,0.509
141,0.93,2.981,1.045,0.232,1.02,0.457,0.506
142,0.918,2.987,1.044,0.227,1.02,0.454,0.503
143,0.916,2.994,1.044,0.224,1.022,0.452,0.502
144,0.996,2.999,1.053,0.228,1.033,0.458,0.509
145,0.707,3.004,1.067,0.239,1.049,0.471,0.522
146,0.417,3.008,1.082,0.25,1.067,0.484,0.537
147,0.402,3.012,1.094,0.258,1.08,0.494,0.548
148,0.598,3.016,1.1,0.26,1.087,0.497,0.553
149,0.732,3.019,1.099,0.255,1.086,0.494,0.55
150,0.907,3.023,1.09,0.242,1.078,0.483,0.54
151,0.571,3.027,1.077,0.226,1.065,0.468,0.526
152,0.359,3.031,1.064,0.21,1.053,0.453,0.512
153,0.433,3.035,1.056,0.199,1.046,0.442,0.503
154,0.636,3.038,1.055,0.194,1.045,0.439,0.501
155,0.714,3.041,1.06,0.197,1.051,0.442,0.505
156,0.468,3.043,1.067,0.201,1.058,0.446,0.51
157,0.442,3.045,1.074,0.204,1.065,0.45,0.515
158,0.457,3.047,1.079,0.206,1.07,0.452,0.518
159,0.486,3.048,1.081,0.205,1.072,0.451,0.518
160,0.492,3.049,1.08,0.202,1.072,0.447,0.516
161,0.469,3.05,1.079,0.197,1.07,0.442,0.512
162,0.383,3.051,1.076,0.192,1.068,0.436,0.507
163,0.381,3.052,1.075,0.187,1.067,0.432,0.504
164,0.395,3.053,1.075,0.184,1.067,0.429,0.502
165,0.405,3.054,1.077,0.183,1.069,0.429,0.503
166,0.398,3.055,1.08,0.183,1.073,0.43,0.505
167,0.383,3.056,1.085,0.184,1.077,0.433,0.508
168,0.806,3.058,1.087,0.184,1.081,0.434,0.509
169,0.813,3.061,1.089,0.181,1.083,0.433,0.509
170,0.808,3.064,1.088,0.177,1.083,0.43,0.507
171,0.793,3.068,1.087,0.172,1.083,0.427,0.505
172,0.779,3.073,1.085,0.168,1.084,0.423,0.502
173,0.774,3.078,1.084,0.163,1.085,0.42,0.5
